UniprotID	logFC	AveExpr	t	P.Value	adj.P.Val	B	PG.Genes	PG.ProteinDescriptions	contrast
Q9BVA1	-0.376811516951019	18.4662522172318	-3.04671454657909	0.00843191285694933	0.0307258139707881	-3.34183723206392	TUBB2B	Tubulin beta-2B chain	K57A_vs_Beads_str
Q13425	-0.420162358239281	14.6956205644666	-3.0446246309261	0.00846742957383571	0.0308202929222061	-3.34594360176785	SNTB2	Beta-2-syntrophin	K57A_vs_Beads_str
P04843	-0.265808670547244	17.5244815373856	-3.04179312368681	0.00851578471865791	0.0309567856577424	-3.35150613552588	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	K57A_vs_Beads_str
Q8NCW5	-1.38580878920573	14.1260666139649	-3.041260340563	0.00852491374461332	0.0309567856577424	-3.35255267226308	NAXE	NAD(P)H-hydrate epimerase	K57A_vs_Beads_str
Q6IN85	-0.925782636111123	14.2668440053613	-3.04047146044811	0.00853844862440965	0.0309567856577424	-3.35410218430419	PPP4R3A	Serine/threonine-protein phosphatase 4 regulatory subunit 3A	K57A_vs_Beads_str
Q9Y3C0	0.991329159408497	14.110138473304	3.04017989484307	0.00854345640274346	0.0309567856577424	-3.35467485348591	WASHC3	WASH complex subunit 3	K57A_vs_Beads_str
Q8NBS9	1.5816393865324	14.1300479190631	3.04277777545927	0.0085727087697213	0.0310277995336534	-3.3547364549116	TXNDC5	Thioredoxin domain-containing protein 5	K57A_vs_Beads_str
O43592	-0.841644775086015	13.0772146558255	-3.03668462738255	0.00860371530997373	0.0311049955075991	-3.36153905792452	XPOT	Exportin-T	K57A_vs_Beads_str
P52907	-1.14684412364845	17.0345022386488	-3.0346082610738	0.00877212100086019	0.0316781987604097	-3.37467995871468	CAPZA1	F-actin-capping protein subunit alpha-1	K57A_vs_Beads_str
Q13464	-2.21194052049074	12.503282933969	-3.02439936093137	0.00882114362351863	0.0318194787946003	-3.38580600145375	ROCK1	Rho-associated protein kinase 1	K57A_vs_Beads_str
Q9BVJ6	0.908202598340905	13.8025390811134	3.02344282377981	0.00883583181806121	0.0318367303399649	-3.38752863234505	UTP14A	U3 small nucleolar RNA-associated protein 14 homolog A	K57A_vs_Beads_str
P49750	1.76987276979841	13.7620823429041	3.02173588199407	0.00891489497098439	0.0320856354274847	-3.39412966027287	YLPM1	YLP motif-containing protein 1	K57A_vs_Beads_str
Q8N9N2	1.22806339355312	12.6348158076429	3.01742282184477	0.00894338777987776	0.032152179333923	-3.39933585866134	ASCC1	Activating signal cointegrator 1 complex subunit 1	K57A_vs_Beads_str
P63220	0.713311331543604	16.7714672867712	3.0124738974808	0.00903277289568819	0.032431846252858	-3.4090384628174	RPS21	40S ribosomal protein S21	K57A_vs_Beads_str
Q6PCB5	1.26148300133132	11.9339698495321	3.01143453053799	0.00905165699230255	0.032431846252858	-3.41107574345221	RSBN1L	Lysine-specific demethylase RSBN1L	K57A_vs_Beads_str
Q9NXU5	0.891298948984643	13.4814821533036	3.01113700004072	0.00905706993488936	0.032431846252858	-3.41165890923897	ARL15	ADP-ribosylation factor-like protein 15	K57A_vs_Beads_str
P51665	-0.617017508976895	15.5220884114434	-3.01089128513613	0.00906154260580788	0.032431846252858	-3.41214050576124	PSMD7	26S proteasome non-ATPase regulatory subunit 7	K57A_vs_Beads_str
Q9UBF8	2.25767456388245	11.6163425919072	3.00662032212349	0.0091396341124753	0.032674954435479	-3.42051011250529	PI4KB	Phosphatidylinositol 4-kinase beta	K57A_vs_Beads_str
Q06265	0.561550356815093	16.7071719431707	3.00360954836335	0.00919508193998015	0.0328366592834402	-3.42640858824797	EXOSC9	Exosome complex component RRP45	K57A_vs_Beads_str
P19022;P55283	1.53795398078323	13.9789327350151	2.99960267891465	0.00928718493904486	0.0331287595938848	-3.43538783168302	CDH2;CDH4	Cadherin-2;Cadherin-4	K57A_vs_Beads_str
Q15024	0.628039615728907	16.2352637338108	2.99795220114281	0.00930016784109649	0.0331382920635079	-3.43748842844062	EXOSC7	Exosome complex component RRP42	K57A_vs_Beads_str
Q8N5C6	0.776383212379995	13.6886897930686	2.99738552720609	0.00931075880871281	0.033139289934887	-3.43859799177014	SRBD1	S1 RNA-binding domain-containing protein 1	K57A_vs_Beads_str
Q14562	1.22943487240404	13.0677847002696	2.99644588708948	0.00932834657909056	0.0331651613995543	-3.44043772844496	DHX8	ATP-dependent RNA helicase DHX8	K57A_vs_Beads_str
Q08752	-1.37913373034613	13.3203233527009	-2.99158885693981	0.00941978111347694	0.0334532337002375	-3.44994529459379	PPID	Peptidyl-prolyl cis-trans isomerase D	K57A_vs_Beads_str
Q9ULT8	0.60945122485775	13.4228549902549	2.99030751746316	0.00944404927837746	0.0334801664577674	-3.45245291126737	HECTD1	E3 ubiquitin-protein ligase HECTD1	K57A_vs_Beads_str
Q9BXP5	0.473114720232454	14.6656941535038	2.98975525828825	0.00945452785971444	0.0334801664577674	-3.45353362186844	SRRT	Serrate RNA effector molecule homolog	K57A_vs_Beads_str
Q9BW83	0.609753885045265	18.1105924817301	2.98953997298291	0.00945861578831761	0.0334801664577674	-3.45395489919838	IFT27	Intraflagellar transport protein 27 homolog	K57A_vs_Beads_str
Q659A1	5.64839665168139	9.87039390087659	2.98886151418489	0.00947151003425002	0.0334889254676343	-3.4552824840812	ICE2	Little elongation complex subunit 2	K57A_vs_Beads_str
